"State","Measure Name","Measure ID","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Measure Start Date","Measure End Date"
"VA","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","2","77","0","5","","07/01/2010","06/30/2013"
"VI","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","0","0","2","","07/01/2010","06/30/2013"
"VT","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","13","0","1","","07/01/2010","06/30/2013"
"WA","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","64","1","20","","07/01/2010","06/30/2013"
"WI","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","105","0","18","","07/01/2010","06/30/2013"
"WV","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","4","45","0","1","","07/01/2010","06/30/2013"
"WY","Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","0","15","0","12","","07/01/2010","06/30/2013"
"AK","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","9","0","13","","07/01/2010","06/30/2013"
"AL","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","3","83","0","13","","07/01/2010","06/30/2013"
"AR","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","2","66","0","5","","07/01/2010","06/30/2013"
"AS","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","0","0","1","","07/01/2010","06/30/2013"
"AZ","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","3","54","0","18","","07/01/2010","06/30/2013"
"CA","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","8","247","12","64","","07/01/2010","06/30/2013"
"CO","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","1","48","0","24","","07/01/2010","06/30/2013"
"CT","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","28","2","1","","07/01/2010","06/30/2013"
"DC","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","7","0","0","","07/01/2010","06/30/2013"
"DE","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","6","0","0","","07/01/2010","06/30/2013"
"FL","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","6","169","2","6","","07/01/2010","06/30/2013"
"GA","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","2","117","0","21","","07/01/2010","06/30/2013"
"GU","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","1","0","0","","07/01/2010","06/30/2013"
"HI","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","12","0","7","","07/01/2010","06/30/2013"
"IA","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","1","79","0","35","","07/01/2010","06/30/2013"
"ID","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","1","22","0","15","","07/01/2010","06/30/2013"
"IL","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","3","161","9","6","","07/01/2010","06/30/2013"
"IN","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","3","109","3","5","","07/01/2010","06/30/2013"
"KS","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","2","77","0","49","","07/01/2010","06/30/2013"
"KY","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","5","88","1","0","","07/01/2010","06/30/2013"
"LA","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","82","0","25","","07/01/2010","06/30/2013"
"MA","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","54","7","2","","07/01/2010","06/30/2013"
"MD","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","4","42","0","1","","07/01/2010","06/30/2013"
"ME","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","34","0","2","","07/01/2010","06/30/2013"
"MI","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","5","110","2","8","","07/01/2010","06/30/2013"
"MN","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","59","0","70","","07/01/2010","06/30/2013"
"MO","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","2","106","0","5","","07/01/2010","06/30/2013"
"MP","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","0","0","1","","07/01/2010","06/30/2013"
"MS","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","1","75","0","18","","07/01/2010","06/30/2013"
"MT","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","23","0","36","","07/01/2010","06/30/2013"
"NC","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","7","93","2","4","","07/01/2010","06/30/2013"
"ND","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","18","0","25","","07/01/2010","06/30/2013"
"NE","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","3","40","0","40","","07/01/2010","06/30/2013"
"NH","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","25","0","1","","07/01/2010","06/30/2013"
"NJ","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","1","61","1","2","","07/01/2010","06/30/2013"
"NM","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","33","0","8","","07/01/2010","06/30/2013"
"NV","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","1","24","0","7","","07/01/2010","06/30/2013"
"NY","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","6","160","2","7","","07/01/2010","06/30/2013"
"OH","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","3","147","2","11","","07/01/2010","06/30/2013"
"OK","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","2","85","0","27","","07/01/2010","06/30/2013"
"OR","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","2","48","0","8","","07/01/2010","06/30/2013"
"PA","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","151","1","7","","07/01/2010","06/30/2013"
"PR","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","20","0","25","","07/01/2010","06/30/2013"
"RI","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","1","9","0","0","","07/01/2010","06/30/2013"
"SC","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","3","54","0","4","","07/01/2010","06/30/2013"
"SD","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","20","0","32","","07/01/2010","06/30/2013"
"TN","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","3","102","1","7","","07/01/2010","06/30/2013"
"TX","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","6","290","2","70","","07/01/2010","06/30/2013"
"UT","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","19","0","21","","07/01/2010","06/30/2013"
"VA","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","1","78","0","4","","07/01/2010","06/30/2013"
"VI","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","0","0","2","","07/01/2010","06/30/2013"
"VT","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","13","0","1","","07/01/2010","06/30/2013"
"WA","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","5","59","0","21","","07/01/2010","06/30/2013"
"WI","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","104","1","18","","07/01/2010","06/30/2013"
"WV","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","48","0","2","","07/01/2010","06/30/2013"
"WY","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","14","0","13","","07/01/2010","06/30/2013"
"AK","Rate of unplanned readmission for stroke patients","READM_30_STK","0","8","0","11","","07/01/2010","06/30/2013"
"AL","Rate of unplanned readmission for stroke patients","READM_30_STK","0","65","0","33","","07/01/2010","06/30/2013"
"AR","Rate of unplanned readmission for stroke patients","READM_30_STK","1","47","0","25","","07/01/2010","06/30/2013"
"AS","Rate of unplanned readmission for stroke patients","READM_30_STK","0","0","0","1","","07/01/2010","06/30/2013"
"AZ","Rate of unplanned readmission for stroke patients","READM_30_STK","0","42","0","23","","07/01/2010","06/30/2013"
"CA","Rate of unplanned readmission for stroke patients","READM_30_STK","2","232","1","87","","07/01/2010","06/30/2013"
"CO","Rate of unplanned readmission for stroke patients","READM_30_STK","0","35","1","32","","07/01/2010","06/30/2013"
"CT","Rate of unplanned readmission for stroke patients","READM_30_STK","0","29","0","2","","07/01/2010","06/30/2013"
"DC","Rate of unplanned readmission for stroke patients","READM_30_STK","1","6","0","0","","07/01/2010","06/30/2013"
"DE","Rate of unplanned readmission for stroke patients","READM_30_STK","0","5","1","0","","07/01/2010","06/30/2013"
"FL","Rate of unplanned readmission for stroke patients","READM_30_STK","5","147","3","25","","07/01/2010","06/30/2013"
"GA","Rate of unplanned readmission for stroke patients","READM_30_STK","0","82","0","56","","07/01/2010","06/30/2013"
"GU","Rate of unplanned readmission for stroke patients","READM_30_STK","0","1","0","0","","07/01/2010","06/30/2013"
"HI","Rate of unplanned readmission for stroke patients","READM_30_STK","0","13","0","3","","07/01/2010","06/30/2013"
"IA","Rate of unplanned readmission for stroke patients","READM_30_STK","0","49","1","64","","07/01/2010","06/30/2013"
"ID","Rate of unplanned readmission for stroke patients","READM_30_STK","0","12","0","23","","07/01/2010","06/30/2013"
"IL","Rate of unplanned readmission for stroke patients","READM_30_STK","3","123","0","50","","07/01/2010","06/30/2013"
"IN","Rate of unplanned readmission for stroke patients","READM_30_STK","1","83","0","36","","07/01/2010","06/30/2013"
"KS","Rate of unplanned readmission for stroke patients","READM_30_STK","0","40","0","82","","07/01/2010","06/30/2013"
"KY","Rate of unplanned readmission for stroke patients","READM_30_STK","1","49","0","43","","07/01/2010","06/30/2013"
"LA","Rate of unplanned readmission for stroke patients","READM_30_STK","0","52","0","50","","07/01/2010","06/30/2013"
"MA","Rate of unplanned readmission for stroke patients","READM_30_STK","0","56","0","7","","07/01/2010","06/30/2013"
"MD","Rate of unplanned readmission for stroke patients","READM_30_STK","3","42","0","1","","07/01/2010","06/30/2013"
"ME","Rate of unplanned readmission for stroke patients","READM_30_STK","0","25","0","11","","07/01/2010","06/30/2013"
"MI","Rate of unplanned readmission for stroke patients","READM_30_STK","2","86","3","32","","07/01/2010","06/30/2013"
"MN","Rate of unplanned readmission for stroke patients","READM_30_STK","0","40","1","84","","07/01/2010","06/30/2013"
"MO","Rate of unplanned readmission for stroke patients","READM_30_STK","2","58","1","51","","07/01/2010","06/30/2013"
"MP","Rate of unplanned readmission for stroke patients","READM_30_STK","0","0","0","1","","07/01/2010","06/30/2013"
"MS","Rate of unplanned readmission for stroke patients","READM_30_STK","1","48","0","37","","07/01/2010","06/30/2013"
"MT","Rate of unplanned readmission for stroke patients","READM_30_STK","0","16","0","29","","07/01/2010","06/30/2013"
"NC","Rate of unplanned readmission for stroke patients","READM_30_STK","1","91","0","13","","07/01/2010","06/30/2013"
"ND","Rate of unplanned readmission for stroke patients","READM_30_STK","0","10","0","29","","07/01/2010","06/30/2013"
"NE","Rate of unplanned readmission for stroke patients","READM_30_STK","0","23","0","57","","07/01/2010","06/30/2013"
"NH","Rate of unplanned readmission for stroke patients","READM_30_STK","0","20","0","6","","07/01/2010","06/30/2013"
"NJ","Rate of unplanned readmission for stroke patients","READM_30_STK","4","57","0","3","","07/01/2010","06/30/2013"
"NM","Rate of unplanned readmission for stroke patients","READM_30_STK","0","21","0","17","","07/01/2010","06/30/2013"
"NV","Rate of unplanned readmission for stroke patients","READM_30_STK","0","19","0","11","","07/01/2010","06/30/2013"
"NY","Rate of unplanned readmission for stroke patients","READM_30_STK","12","127","0","33","","07/01/2010","06/30/2013"
"OH","Rate of unplanned readmission for stroke patients","READM_30_STK","1","114","0","44","","07/01/2010","06/30/2013"
"OK","Rate of unplanned readmission for stroke patients","READM_30_STK","0","43","0","62","","07/01/2010","06/30/2013"
"OR","Rate of unplanned readmission for stroke patients","READM_30_STK","0","40","0","18","","07/01/2010","06/30/2013"
"PA","Rate of unplanned readmission for stroke patients","READM_30_STK","1","126","0","30","","07/01/2010","06/30/2013"
"PR","Rate of unplanned readmission for stroke patients","READM_30_STK","0","17","0","29","","07/01/2010","06/30/2013"
"RI","Rate of unplanned readmission for stroke patients","READM_30_STK","0","10","0","0","","07/01/2010","06/30/2013"
"SC","Rate of unplanned readmission for stroke patients","READM_30_STK","0","46","1","13","","07/01/2010","06/30/2013"
"SD","Rate of unplanned readmission for stroke patients","READM_30_STK","0","11","0","36","","07/01/2010","06/30/2013"
"TN","Rate of unplanned readmission for stroke patients","READM_30_STK","1","70","0","40","","07/01/2010","06/30/2013"
"TX","Rate of unplanned readmission for stroke patients","READM_30_STK","0","193","1","150","","07/01/2010","06/30/2013"
"UT","Rate of unplanned readmission for stroke patients","READM_30_STK","0","13","2","23","","07/01/2010","06/30/2013"
"VA","Rate of unplanned readmission for stroke patients","READM_30_STK","2","66","1","11","","07/01/2010","06/30/2013"
"VI","Rate of unplanned readmission for stroke patients","READM_30_STK","0","2","0","0","","07/01/2010","06/30/2013"
"VT","Rate of unplanned readmission for stroke patients","READM_30_STK","0","12","0","2","","07/01/2010","06/30/2013"
"WA","Rate of unplanned readmission for stroke patients","READM_30_STK","0","51","3","31","","07/01/2010","06/30/2013"
"WI","Rate of unplanned readmission for stroke patients","READM_30_STK","0","73","0","48","","07/01/2010","06/30/2013"
"WV","Rate of unplanned readmission for stroke patients","READM_30_STK","2","26","0","22","","07/01/2010","06/30/2013"
"WY","Rate of unplanned readmission for stroke patients","READM_30_STK","0","8","0","18","","07/01/2010","06/30/2013"
"AK","Death rate for stroke patients","MORT_30_STK","0","8","0","11","","07/01/2010","06/30/2013"
"AL","Death rate for stroke patients","MORT_30_STK","2","67","0","29","","07/01/2010","06/30/2013"
"AR","Death rate for stroke patients","MORT_30_STK","1","48","0","24","","07/01/2010","06/30/2013"
"AS","Death rate for stroke patients","MORT_30_STK","0","0","0","1","","07/01/2010","06/30/2013"
"AZ","Death rate for stroke patients","MORT_30_STK","0","42","1","23","","07/01/2010","06/30/2013"
"CA","Death rate for stroke patients","MORT_30_STK","7","221","10","85","","07/01/2010","06/30/2013"
"CO","Death rate for stroke patients","MORT_30_STK","0","38","0","30","","07/01/2010","06/30/2013"
"CT","Death rate for stroke patients","MORT_30_STK","1","26","2","2","","07/01/2010","06/30/2013"
"DC","Death rate for stroke patients","MORT_30_STK","0","5","2","0","","07/01/2010","06/30/2013"
"DE","Death rate for stroke patients","MORT_30_STK","0","6","0","0","","07/01/2010","06/30/2013"
"FL","Death rate for stroke patients","MORT_30_STK","7","145","3","25","","07/01/2010","06/30/2013"
"GA","Death rate for stroke patients","MORT_30_STK","1","81","1","55","","07/01/2010","06/30/2013"
"GU","Death rate for stroke patients","MORT_30_STK","0","1","0","0","","07/01/2010","06/30/2013"
"HI","Death rate for stroke patients","MORT_30_STK","0","13","0","3","","07/01/2010","06/30/2013"
"IA","Death rate for stroke patients","MORT_30_STK","2","47","1","65","","07/01/2010","06/30/2013"
"ID","Death rate for stroke patients","MORT_30_STK","2","10","0","23","","07/01/2010","06/30/2013"
"IL","Death rate for stroke patients","MORT_30_STK","1","125","6","44","","07/01/2010","06/30/2013"
"IN","Death rate for stroke patients","MORT_30_STK","2","84","1","33","","07/01/2010","06/30/2013"
"KS","Death rate for stroke patients","MORT_30_STK","0","42","0","83","","07/01/2010","06/30/2013"
"KY","Death rate for stroke patients","MORT_30_STK","1","55","1","37","","07/01/2010","06/30/2013"
"LA","Death rate for stroke patients","MORT_30_STK","1","52","2","47","","07/01/2010","06/30/2013"
"MA","Death rate for stroke patients","MORT_30_STK","0","56","1","6","","07/01/2010","06/30/2013"
"MD","Death rate for stroke patients","MORT_30_STK","3","40","2","1","","07/01/2010","06/30/2013"
"ME","Death rate for stroke patients","MORT_30_STK","2","27","0","7","","07/01/2010","06/30/2013"
"MI","Death rate for stroke patients","MORT_30_STK","2","84","5","32","","07/01/2010","06/30/2013"
"MN","Death rate for stroke patients","MORT_30_STK","1","41","1","83","","07/01/2010","06/30/2013"
"MO","Death rate for stroke patients","MORT_30_STK","3","59","1","50","","07/01/2010","06/30/2013"
"MP","Death rate for stroke patients","MORT_30_STK","0","0","0","1","","07/01/2010","06/30/2013"
"MS","Death rate for stroke patients","MORT_30_STK","0","48","1","37","","07/01/2010","06/30/2013"
"MT","Death rate for stroke patients","MORT_30_STK","0","16","0","30","","07/01/2010","06/30/2013"
"NC","Death rate for stroke patients","MORT_30_STK","5","86","1","13","","07/01/2010","06/30/2013"
"ND","Death rate for stroke patients","MORT_30_STK","1","9","0","29","","07/01/2010","06/30/2013"
"NE","Death rate for stroke patients","MORT_30_STK","0","25","0","56","","07/01/2010","06/30/2013"
"NH","Death rate for stroke patients","MORT_30_STK","0","21","0","5","","07/01/2010","06/30/2013"
"NJ","Death rate for stroke patients","MORT_30_STK","2","53","6","3","","07/01/2010","06/30/2013"
"NM","Death rate for stroke patients","MORT_30_STK","1","19","0","17","","07/01/2010","06/30/2013"
"NV","Death rate for stroke patients","MORT_30_STK","3","16","0","11","","07/01/2010","06/30/2013"
"NY","Death rate for stroke patients","MORT_30_STK","3","129","11","30","","07/01/2010","06/30/2013"
"OH","Death rate for stroke patients","MORT_30_STK","1","112","3","43","","07/01/2010","06/30/2013"
"OK","Death rate for stroke patients","MORT_30_STK","2","43","0","60","","07/01/2010","06/30/2013"
"OR","Death rate for stroke patients","MORT_30_STK","2","40","0","16","","07/01/2010","06/30/2013"
"PA","Death rate for stroke patients","MORT_30_STK","3","123","4","27","","07/01/2010","06/30/2013"
"PR","Death rate for stroke patients","MORT_30_STK","0","18","0","30","","07/01/2010","06/30/2013"
"RI","Death rate for stroke patients","MORT_30_STK","0","10","0","0","","07/01/2010","06/30/2013"
"SC","Death rate for stroke patients","MORT_30_STK","1","46","0","13","","07/01/2010","06/30/2013"
"SD","Death rate for stroke patients","MORT_30_STK","0","12","0","35","","07/01/2010","06/30/2013"
"TN","Death rate for stroke patients","MORT_30_STK","3","69","1","38","","07/01/2010","06/30/2013"
"TX","Death rate for stroke patients","MORT_30_STK","3","187","6","150","","07/01/2010","06/30/2013"
"UT","Death rate for stroke patients","MORT_30_STK","0","17","0","21","","07/01/2010","06/30/2013"
"VA","Death rate for stroke patients","MORT_30_STK","4","66","0","10","","07/01/2010","06/30/2013"
"VI","Death rate for stroke patients","MORT_30_STK","0","2","0","0","","07/01/2010","06/30/2013"
"VT","Death rate for stroke patients","MORT_30_STK","1","11","0","2","","07/01/2010","06/30/2013"
"WA","Death rate for stroke patients","MORT_30_STK","3","50","1","31","","07/01/2010","06/30/2013"
"WI","Death rate for stroke patients","MORT_30_STK","1","76","0","44","","07/01/2010","06/30/2013"
"WV","Death rate for stroke patients","MORT_30_STK","3","28","0","19","","07/01/2010","06/30/2013"
"WY","Death rate for stroke patients","MORT_30_STK","0","8","0","18","","07/01/2010","06/30/2013"
